原文	类型	译名	来源
Aomori	LOCATION	青森	词典
Iwate	LOCATION	岩手	词典
Miyagi	PERSON	宫木	词典
Yamagata	LOCATION	山方〈茨城县〉	词典
Fukushima	PERSON	福岛	词典
Gunma	LOCATION	群马	词典
Chiba	LOCATION	千叶	词典
Yokohama	LOCATION	横滨	词典
Toyama	PERSON	刀山	词典
Ishikawa	PERSON	石川	词典
Fukui	PERSON	二位	词典
Yamanashi	LOCATION	山梨	词典
Nagano	LOCATION	长野	词典
Shizuoka	LOCATION	静冈	词典
Aichi	LOCATION	爱知	词典
Gifu	LOCATION	岐阜	词典
Alps	LOCATION	阿尔卑斯山脉	词典
Mie	PERSON	苋	词典
Osaka	LOCATION	小坂	词典
Nara	LOCATION	纳拉	词典
Wakayama	LOCATION	和歌山	词典
Kobe	PERSON	儿部	词典
Shimane	LOCATION	岛根	词典
Okayama	LOCATION	冈山	词典
Yamaguchi	PERSON	亚马古基	词典
Kagawa	PERSON	可川	词典
Tokushima	LOCATION	德岛	词典
Kochi	PERSON	小知	词典
Fukuoka	LOCATION	福冈	词典
Nagasaki	LOCATION	长崎	词典
Kumamoto	LOCATION	熊本	词典
Miyazaki	PERSON	宫崎	词典
Kagoshima	LOCATION	鹿儿岛	词典
Island	LOCATION	艾兰	词典
Tohoku	PERSON	户保久	Gemini
Honshu	LOCATION	本州	Gemini
Kanagawa	LOCATION	神奈川	Gemini
Chubu	LOCATION	中部	Gemini
Kyoto	LOCATION	京都	Gemini
Hyogo	LOCATION	兵库	Gemini
Chugoku	PERSON	忠吾久	Gemini
Kyushu	LOCATION	九州	Gemini
Oita	LOCATION	大分	Gemini
Islands	LOCATION	群岛	Gemini
Yaeyama Islands	LOCATION	八重山群岛	Gemini
